"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
39410631.25,-157575.07,-47971.18,13868319424.39,-10153844315.18,296.48
48823194.02,-206705.45,-121786.77,16117559238.80,-11595467979.51,296.75
96813244.08,9518.36,-297508.83,21595004229.98,-12754581993.92,296.98
121318590.39,74012.82,-332684.18,24255824200.01,-13196335653.88,296.58
48365097.71,-196907.23,-192955.03,18896382535.60,-13019476906.80,296.82
46048212.90,-187528.78,224735.54,17585465018.74,-13056041052.72,296.94
24555757.62,-60187.89,147155.58,16139140299.95,-13175983464.59,297.24
60173103.01,194663.95,-280278.93,18935879655.23,-13982857741.22,297.61
69360678.89,212729.94,-440596.31,20576876167.53,-13983209737.80,297.25
16454300.72,53398.64,-42485.27,14986198654.41,-12421999538.81,297.03
-25109.06,-29141.64,43218.49,10791696576.89,-10242823929.61,296.25
-1959370.75,-75038.66,99962.38,10812052665.57,-9570207719.60,295.99
55034659.52,-50832.12,79357.43,14834569259.09,-10024726749.59,296.47
95735818.34,-12488.85,-96501.15,20263830078.01,-11454824170.83,296.87
157925723.52,320659.58,-499219.65,27007519732.89,-12528931723.19,296.26
134917365.31,211314.66,-320600.33,25672246162.58,-12767906002.52,296.29
76719058.48,27833.08,-135038.20,20873927805.20,-12765498826.49,296.55
38739391.27,52975.84,-47661.43,17051742038.93,-12540750972.90,296.98
84526703.26,-23834.90,-64191.69,20463221206.31,-12749094214.23,296.88
98751456.47,178881.83,-455021.80,22318151655.28,-13865499021.56,297.35
56334363.61,398005.52,-302600.82,19221674505.24,-14100552282.29,297.42
2749829.52,112613.28,-76405.25,14108913356.90,-12487383234.35,297.26
-24667694.39,-116862.05,-16819.04,9780857216.26,-10567548200.38,296.66
-2184256.57,-37569.73,-10045.59,9714600374.41,-9515097999.69,296.38
7993140.80,-338074.48,-19913.31,12062696486.32,-10365231710.70,297.10
69847111.51,-128714.32,-112335.09,17507271197.91,-11498049501.95,297.19
126228637.25,192362.86,-441065.92,24460709799.84,-12379071260.22,296.65
