Date,Discharge [ft^3/s]
2009-05-13,1360000
2009-05-14,1390000
2009-05-15,1420000
2009-05-16,1440000
2009-05-17,1470000
2009-05-18,1490000
2009-05-19,1510000
2009-05-20,1530000
2009-05-21,1540000
2009-05-22,1550000
2009-05-23,1550000
2009-05-24,1550000
2009-05-25,1540000
2009-05-26,1540000
2009-05-27,1530000
2009-05-28,1520000
2009-05-29,1520000
2009-05-30,1510000
2009-05-31,1490000
2009-06-01,1460000
2009-06-02,1400000
2009-06-03,1320000
2009-06-04,1280000
2009-06-05,1230000
2009-06-06,1170000
2009-06-07,1110000
2009-06-08,1060000
2009-06-09,1030000
2009-06-10,1010000
2009-06-11,978000
2009-06-12,947000
2009-06-13,916000
2009-06-14,885000
2009-06-15,856000
2009-06-16,834000
2009-06-17,821000
2009-06-18,813000
2009-06-19,812000
2009-06-20,822000
2009-06-21,835000
2009-06-22,849000
2009-06-23,863000
2009-06-24,870000
2009-06-25,873000
2009-06-26,876000
2009-06-27,879000
2009-06-28,882000
2009-06-29,880000
2009-06-30,866000
2009-07-01,842000
2009-07-02,814000
2009-07-03,785000
2009-07-04,754000
2009-07-05,719000
2009-07-06,682000
2009-07-07,647000
2009-07-08,607000
2009-07-09,574000
2009-07-10,552000
2009-07-11,539000
2009-07-12,535000
2009-07-13,532000
2009-07-14,528000
2009-07-15,521000
2009-07-16,508000
2009-07-17,496000
2009-07-18,488000
2009-07-19,483000
2009-07-20,478000
2009-07-21,478000
2009-07-22,484000
2009-07-23,495000
2009-07-24,502000
2009-07-25,502000
2009-07-26,489000
2009-07-27,477000
2009-07-28,471000
2009-07-29,475000
2009-07-30,481000
2009-07-31,487000
2009-08-01,491000
2009-08-02,503000
2009-08-03,510000
2009-08-04,516000
2009-08-05,527000
2009-08-06,545000
2009-08-07,564000
2009-08-08,583000
2009-08-09,595000
2009-08-10,602000
2009-08-11,603000
2009-08-12,600000
2009-08-13,593000
2009-08-14,574000
2009-08-15,548000
2009-08-16,514000
2009-08-17,477000
2009-08-18,444000
2009-08-19,427000
2009-08-20,420000
2009-08-21,418000
2009-08-22,421000
2009-08-23,428000
2009-08-24,427000
2009-08-25,419000
2009-08-26,413000
2009-08-27,419000
2009-08-28,430000
2009-08-29,445000
