"","V1","V2","V3","V4","V5"
"293",2003,5,219600,226096.774193548,228600
"294",2003,6,228600,230366.666666667,233100
"295",2003,7,210400,220496.774193548,227800
"296",2003,8,183100,197770.967741935,210300
"297",2003,9,144100,163736.666666667,182700
"298",2003,10,110900,122235.483870968,142500
"299",2003,11,105600,108243.333333333,111100
"300",2003,12,109100,110383.870967742,113600
"301",2004,1,112500,129693.548387097,147700
"302",2004,2,148100,156442.857142857,164400
"303",2004,3,164400,176609.677419355,192600
"304",2004,4,193300,205763.333333333,214600
"305",2004,5,215300,222158.064516129,224800
"306",2004,6,206700,214690,219600
"307",2004,7,185700,196306.451612903,205900
"308",2004,8,162400,174596.774193548,185300
"309",2004,9,132900,147286.666666667,161400
"310",2004,10,113500,120864.516129032,132400
"311",2004,11,107300,109336.666666667,113100
"312",2004,12,110100,117806.451612903,127100
"313",2005,1,127600,135706.451612903,142300
"314",2005,2,142800,151146.428571429,163100
"315",2005,3,165000,191538.709677419,219300
"316",2005,4,220300,229593.333333333,236200
"317",2005,5,236300,244490.322580645,248100
"318",2005,6,221800,233316.666666667,244800
"319",2005,7,185000,203816.129032258,220800
"320",2005,8,132800,159506.451612903,183600
"321",2005,9,86740,108712.333333333,130700
"322",2005,10,72840,79482.9032258065,86390
"323",2005,11,75820,87897.3333333333,99890
"324",2005,12,101300,115035.483870968,127900
"325",2006,1,130000,147719.35483871,162600
"326",2006,2,163900,181275,201400
"327",2006,3,203700,222119.35483871,237000
"328",2006,4,237800,245660,258700
"329",2006,5,259500,271396.774193548,278700
"330",2006,6,257400,268466.666666667,278100
"331",2006,7,215600,236303.225806452,255900
"332",2006,8,161800,188232.258064516,214200
"333",2006,9,113900,136883.333333333,159500
"334",2006,10,88460,97822.5806451613,111800
"335",2006,11,88670,97094,106300
"336",2006,12,107500,121216.129032258,133600
"337",2007,1,134400,146409.677419355,157900
"338",2007,2,159400,168260.714285714,176200
"339",2007,3,176900,185825.806451613,193400
"340",2007,4,194300,208453.333333333,224400
"341",2007,5,225200,237348.387096774,247200
"342",2007,6,238600,246343.333333333,248800
"343",2007,7,213800,227661.290322581,237800
"344",2007,8,172700,194851.612903226,212600
"345",2007,9,121300,144313.333333333,171200
"346",2007,10,95530,103873.870967742,120000
"347",2007,11,95890,101910,110100
"348",2007,12,109600,121932.258064516,134800
"349",2008,1,146400,164893.548387097,183700
"350",2008,2,184700,195714.285714286,210600
"351",2008,3,214000,224993.548387097,232800
"352",2008,4,233500,238456.666666667,245900
"353",2008,5,242200,246064.516129032,250400
"354",2008,6,250700,254753.333333333,257100
"355",2008,7,248000,253580.64516129,256600
"356",2008,8,192000,221422.580645161,246700
"357",2008,9,125300,158906.666666667,189700
"358",2008,10,104100,111912.903225806,123600
"359",2008,11,101200,107603.333333333,117800
"360",2008,12,118000,134429.032258065,159400
"361",2009,1,161900,177967.741935484,190200
"362",2009,2,191800,211650,231600
"363",2009,3,232100,238806.451612903,242700
"364",2009,4,240100,242636.666666667,243900
"365",2009,5,239400,241193.548387097,244400
"366",2009,6,241400,248720,252300
"367",2009,7,252700,256529.032258065,259600
"368",2009,8,240100,254632.258064516,262400
"369",2009,9,166400,202416.666666667,237400
"370",2009,10,98410,122230.322580645,162400
"371",2009,11,78840,89643.3333333333,97880
"372",2009,12,76360,94385.4838709677,125100
"373",2010,1,126600,142509.677419355,154700
"374",2010,2,155000,166310.714285714,174600
"375",2010,3,173900,182951.612903226,193000
"376",2010,4,194400,218220,238600
"377",2010,5,239800,249835.483870968,253600
"378",2010,6,250400,252823.333333333,255100
"379",2010,7,221500,239074.193548387,250000
"380",2010,8,166800,195806.451612903,220000
"381",2010,9,87520,123526.666666667,163600
"382",2010,10,50680,66219.0322580645,85500
"383",2010,11,52860,61866.6666666667,74000
"384",2010,12,76120,92691.6129032258,106500
"385",2011,1,108400,122641.935483871,138800
"386",2011,2,140000,156660.714285714,175000
"387",2011,3,176000,194858.064516129,218900
"388",2011,4,220000,227810,237300
