id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
142,1990,10,83760,105591.612903226,128400,-215889274.396184,302807806.678342,76420896.029604,113557591.692035,-88275.1987,-384169.670882
143,1990,11,85420,92083,97280,-211304430.486158,390478614.711637,119759450.778562,195521019.337884,109745.047294,-544992.715084
144,1990,12,98810,116558.387096774,132200,-200096500.323272,475068937.940834,184912128.765504,281982078.47494,532408.659298,-591084.511035
145,1991,1,133600,148780.64516129,169000,-202413111.940038,463096554.219031,250629295.829756,257508216.125704,381183.641315,-415766.885346
146,1991,2,170300,175885.714285714,178700,-202944125.915142,453308945.347273,242700521.073978,264726816.071571,-131493.591401,-395428.061184
147,1991,3,176500,182167.741935484,193900,-193517959.827189,520144012.916947,317498095.465731,320057638.392727,504019.48067,-709177.411484
148,1991,4,195400,210280,222600,-184041448.345748,479918368.835094,299266335.867272,293161797.365345,455681.833328,-575815.940056
149,1991,5,223300,232541.935483871,239000,-163813736.08239,429978367.85393,313282130.96076,249470546.626368,189674.680318,-427283.460643
150,1991,6,234000,238143.333333333,239800,-160196246.343323,328241917.558212,213649698.701316,151733136.54151,-840957.202202,-303205.707142
151,1991,7,211700,222851.612903226,232900,-165029564.286599,232030534.829111,158790211.470386,72914908.365584,-971547.438181,50637.49198
152,1991,8,181500,198667.741935484,211100,-177615011.413708,195896170.825906,95440085.212038,21265770.50628,-1005987.03722,4546.150061
153,1991,9,130900,156120,180600,-204005835.111853,276423025.462696,81308964.596983,100593228.604241,-672194.283513,-365601.065911
154,1991,10,88950,106071.612903226,128900,-209511184.737206,302360899.186302,79137770.32642,103718476.540694,-370064.196539,-264098.289328
155,1991,11,82640,86600.6666666667,91970,-207273280.447141,346428014.40962,106190444.782148,153411631.649832,-285903.506654,-566049.250803
156,1991,12,92400,98770,105800,-201008028.635356,389031526.566989,136241785.040046,194926114.319417,201199.21572,-364941.88603
157,1992,1,106000,111938.709677419,122900,-207237505.36792,359408293.167939,160520875.410901,158871222.472422,-86035.520148,-212351.090757
