date,water_vap,water_liq,water_ice,prec,evap,temp_2m,dew_2m,lai_lv,lai_hv,discharge
1980-04-01,208074673.9944372,-421834.66430158215,-347831.3648405319,395256037.05671585,-192556219.26474264,297.09580182594937,294.5651631540999,1.14277541092174,4.6048900163778175,168765.576
1980-05-01,152534081.55512324,-131045.11166168563,-213681.23027566512,323535336.9418248,-173336927.3441376,296.52304342939254,294.0507894258732,1.1410978559575666,4.685921743542369,181414.754
1980-06-01,84399912.82531965,-696213.2504599068,29837.75948373665,259351458.02995026,-162320826.73627257,295.9087604731852,293.13554459191425,1.142989449580216,4.961648313897608,184876.575
1980-07-01,45086847.17397842,-592994.3804557825,37631.18114479055,207218812.63101777,-168007043.5809791,295.67637928721973,292.52224303529715,1.1478594919575724,5.294232525109317,177003.191
1980-08-01,50508787.48376897,-449367.1211485638,-112372.11044509095,225894138.13041216,-188347767.6657843,296.29042872984235,293.06215961931366,1.1525283836279427,5.585907376558236,150218.188
1980-09-01,78251059.55230999,-171245.37500738265,-326358.4462337465,272886175.4645959,-207618893.32327324,296.72929824662276,293.249179857502,1.1563503087255185,5.648177379075957,111394.512
1980-10-01,183660070.17830566,102320.0294177889,-296377.5030129324,373171466.08000284,-210306610.9946303,297.0658888133385,294.3803086949439,1.1544005281601617,5.360792068214557,92847.191
1980-11-01,187206226.35589015,180089.868475274,-491138.62085793616,379834629.26287925,-206573749.37326324,297.0787615406131,294.3859582276428,1.1496579223404564,5.09842135734791,105504.307
1980-12-01,170566024.93989217,157920.2044791826,-585755.3595305752,374760815.5118845,-208404140.36602202,297.3649361882321,294.64250060095196,1.1340195710058831,4.715264563845836,116381.816
1981-01-01,240332838.105362,259503.8030589926,-425353.8413168673,438660165.4742887,-200020501.0480402,297.203360258854,294.4922541599416,1.1329652625762003,4.644194651867704,128259.948
1981-02-01,376868541.3045701,402948.755600061,-964917.5949565513,564544648.8688922,-192904241.86723626,296.62589612455196,294.5977352690735,1.1346545708588138,4.585945896687023,149625.576
1981-03-01,262579628.44899556,535071.7636789279,-775746.9104291392,475638792.0902388,-197102044.73062462,297.3585279259333,294.82136720945624,1.1374688801433015,4.551174711141709,169240.469
1981-04-01,306989920.75323117,326322.96437006776,-687930.6645896605,499098746.9587318,-179269268.91384533,296.88495335970305,294.72123186698275,1.14277541092174,4.6048900163778175,190658.888
1981-05-01,182343319.57868576,-9538.949233011808,-215270.0832305098,360329441.4960458,-170457846.9254648,296.68068961764146,294.33989349364447,1.1410978559575666,4.685921743542369,196318.884
1981-06-01,127155748.58581156,-833865.8588024403,-126281.29678874667,305618245.1709542,-156654801.5184518,295.5260504685567,292.89608864144327,1.142989449580216,4.961648313897608,194275.361
1981-07-01,2093835.3761430085,-592650.9710934076,57164.01353467326,177157723.78693053,-165789121.3847823,294.95690720471055,291.00583040606733,1.1478594919575724,5.294232525109317,187916.682
1981-08-01,59156073.18620157,-320252.2853224236,-269126.9508733881,232806181.88308018,-183049086.47417238,296.38431832873505,292.99563592729066,1.1525283836279427,5.585907376558236,169043.912
1981-09-01,93184524.42830297,-116282.4999002043,-354702.08216169913,282701467.2365429,-205697031.6287517,296.35768486306563,293.1744551784475,1.1563503087255185,5.648177379075957,129675.568
1981-10-01,115602000.56750572,-180624.84580980404,-490331.71497694263,307912843.05378115,-214821563.09715027,297.18561521434196,294.3021045388888,1.1544005281601617,5.360792068214557,94881.207
1981-11-01,186828833.3241725,343077.86089569173,-540911.4967907564,385939267.1017102,-206654276.75186482,297.4651053435849,294.94506370698525,1.1496579223404564,5.09842135734791,89976.03
1981-12-01,258211657.7577744,304490.4254320526,-668880.5689892678,442681257.105079,-199393969.38639086,297.17031298928106,294.87764105792036,1.1340195710058831,4.715264563845836,100998.838
1982-01-01,287155475.2127358,666846.0172043935,-442004.7737882348,466839945.61736834,-196114028.0733264,296.9564722842342,294.60072986093064,1.1329652625762003,4.644194651867704,138997.79
1982-02-01,327623586.22841024,684083.98281889,-898253.6506006098,509424849.4225778,-194796031.2096827,296.88432329742903,294.7502538312184,1.1346545708588138,4.585945896687023,176955.963
1982-03-01,274529667.3704654,434086.40900815243,-668841.0675852471,466719037.13162214,-196855874.7937982,296.99663968290446,294.6993346845282,1.1374688801433015,4.551174711141709,197955.096
1982-04-01,313094356.0437359,487097.7978123714,-432548.0437515581,485079859.13327575,-178133460.69553494,296.57311522043227,294.5843868374945,1.14277541092174,4.6048900163778175,215014.036
1982-05-01,174479074.6607551,-99386.3753092452,-130737.944764502,344634164.73726416,-168608715.993215,296.10851497208256,293.71803167698863,1.1410978559575666,4.685921743542369,232150.241
1982-06-01,70246906.10268128,-880604.8049004147,-83586.03290054873,227130665.32024717,-164247867.50430673,296.0237645922957,293.49313527149747,1.142989449580216,4.961648313897608,231956.872
1982-07-01,75722339.78910899,-690484.7305936767,-65178.544419624566,238320640.26827034,-167407267.34746766,296.10389668043587,293.2078464014223,1.1478594919575724,5.294232525109317,218557.905
1982-08-01,58619925.57025874,-494137.585995383,-294697.6433423372,224544336.7561792,-183995545.6154157,296.2575502542696,293.4282770950409,1.1525283836279427,5.585907376558236,191797.152
1982-09-01,74131888.49877211,-595229.6465039337,-192451.87790382476,255431523.5201749,-202160228.2522784,296.981302259175,293.9919402658543,1.1563503087255185,5.648177379075957,152812.153
1982-10-01,89717032.47649628,-97226.00942293945,-199012.48670419777,284748759.6810668,-211823285.06806833,297.40552560645034,294.3455874444989,1.1544005281601617,5.360792068214557,111375.78
1982-11-01,208089990.74744865,36118.03583052452,-310818.97793245676,400052812.8279604,-201466063.3177645,297.47598009650875,294.7618491057808,1.1496579223404564,5.09842135734791,100045.795
1982-12-01,295261507.663512,510953.07569281186,-542646.8359435755,485462352.7401856,-194149996.3145436,297.2236557814637,294.89419402338075,1.1340195710058831,4.715264563845836,116885.957
1983-01-01,162942878.29152194,468127.4056271403,-22677.353141153,358322080.11508507,-213635221.81042534,298.2141809690635,295.21632525387935,1.1329652625762003,4.644194651867704,140253.171
1983-02-01,233041131.48454985,76007.99001222942,-282597.9623222883,434736080.49891925,-205860227.38363922,298.19226522590276,295.10550937436454,1.1346545708588138,4.585945896687023,154130.134
1983-03-01,284409018.72927773,188426.81780463213,-599791.4646357679,481774711.154938,-197951995.46360868,297.98824021687045,295.39217439504694,1.1374688801433015,4.551174711141709,160129.451
1983-04-01,268236707.28874967,285226.8091065753,-353833.27124538634,456022128.9051579,-187264559.13749814,297.55506303115027,295.333228993488,1.14277541092174,4.6048900163778175,177110.302
1983-05-01,163873229.25461227,-463420.41325898946,-260290.9203169612,340270347.8836379,-179100696.49072164,297.35040788057165,294.9196948581959,1.1410978559575666,4.685921743542369,185937.677
1983-06-01,55579331.633048594,-1475647.0170118776,131495.5622485513,212247158.80383322,-165074485.8324788,295.6458881259238,293.1105762087817,1.142989449580216,4.961648313897608,187199.295
1983-07-01,15062424.694679141,-1299447.6974234574,50270.285777922254,183400307.22236067,-172595630.37531996,296.3345696577172,293.22579762028454,1.1478594919575724,5.294232525109317,171602.986
1983-08-01,68452512.02086732,-273681.553320747,8741.002095957796,230964677.15361264,-183720463.53048745,296.47804829301543,293.12264203067735,1.1525283836279427,5.585907376558236,133510.642
