"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
-9953324.70,-78465.06,1834.16,4376114116.25,-3271124181.70,295.72
12675817.66,134704.61,-105161.17,4911245946.16,-3319162109.90,297.67
24247275.83,-161439.31,-298276.61,5299444968.37,-3762146619.84,301.34
37876876.49,-196171.31,-224305.20,7255633787.08,-4849404498.96,301.69
22224935.88,-285188.90,-200583.33,6248045488.56,-5131991317.47,301.27
59141219.61,-91039.53,-455978.56,11363734582.47,-6658770421.80,299.73
51506800.31,-154256.94,-298203.76,11108725400.48,-6654493899.95,299.74
29921326.02,-92239.80,-377772.61,10314181999.86,-6872374371.79,299.78
1494483.44,-75931.84,-162769.32,7109999172.18,-6247530665.82,299.82
-7779340.78,-177312.54,-30986.17,3517417024.60,-4532493744.10,299.24
-3789931.18,-67052.40,-69214.35,3458182384.28,-3660273920.14,298.09
-28534132.57,-35719.46,-3402.59,2772767129.62,-3313813062.19,295.36
-6582435.94,-160355.33,-126196.26,2477225640.25,-3089193123.15,297.48
3313975.50,-181039.89,-278730.51,3834211345.56,-3507295297.67,299.40
53364151.94,-48801.72,-339135.11,8356255508.10,-5007041487.63,301.23
54745887.32,163734.22,-423309.43,10613796999.55,-5849491298.03,301.36
45071108.14,-197503.20,-268999.44,9203845898.77,-6038364279.87,300.99
76913972.02,-24768.80,-438413.77,12898547253.95,-6636105168.06,299.51
70982512.41,-40457.36,-285781.25,14161123270.47,-7669268247.71,299.11
14504876.08,-118760.38,-160159.64,8573980704.27,-6997487334.60,299.93
26351972.18,-82067.48,-219741.11,8813858825.17,-6237561782.51,299.08
-27472983.60,-109367.87,17109.81,3343073947.27,-4994608012.79,297.67
-29225797.53,119116.33,12517.37,1922277317.90,-3816352750.02,294.71
-13472407.86,-154018.14,-96256.91,1429719936.34,-3126725879.54,294.26
-32774872.58,-9071.30,-17879.56,2162908867.38,-3171040126.80,294.49
962613.35,-192897.71,-22498.88,2507828337.15,-3236648177.65,299.38
19103160.94,-175121.90,-190022.41,6558338324.75,-4317752462.21,300.64
38697914.36,-59020.56,-240384.84,6875273597.66,-4917726518.65,301.43
50534072.53,-207672.07,-217329.45,9282289797.73,-5381265591.00,301.07
56442098.35,-88318.15,-336093.79,11090649012.29,-6392770180.61,299.46
61163112.60,-132220.97,-347951.63,13093526873.11,-7262785682.36,298.96
10133023.20,-139725.48,-151685.51,9410278509.57,-7466143868.09,299.22
34315070.23,-66136.85,-143393.53,9819145783.46,-6541383660.76,299.06
-18066945.66,-181804.70,-189267.69,4536254488.85,-5244037888.78,296.70
-17625543.61,164707.44,-28080.64,3087505067.68,-3756771674.17,294.72
-17461949.33,-4019.37,53917.75,2317838788.71,-3289326213.95,294.38
-20411386.32,-248804.61,-86110.52,2290908731.55,-3246077382.37,295.77
-11734646.25,-268384.96,-199315.71,3255892495.43,-3739473469.32,299.08
36957115.23,-328042.01,-533306.58,6998465607.85,-4431618615.18,300.85
62627148.25,-32067.31,-309392.23,9658301202.64,-5631527374.89,300.99
35987691.81,-249079.85,-215827.90,9449549201.87,-6287188142.46,300.41
