time,WGS84,lwe_thickness
2013-11-16,0,-132568118383.02397
2013-12-17,0,-8608527555.54441
2014-01-09,0,60099319513.80724
2014-03-18,0,128249991428.61853
2014-04-16,0,112828533481.67107
2014-05-17,0,133861233581.91974
2014-06-13,0,129436164284.90623
2014-08-17,0,-133430301654.76204
2014-09-16,0,-125549307716.96051
2014-10-17,0,-143984250365.51947
2014-11-16,0,-91725708850.71916
2015-01-23,0,48020720814.22216
2015-02-15,0,76484826226.92445
2015-03-17,0,109867698414.15588
2015-04-12,0,137870993096.9359
2015-05-02,0,133784387186.96162
2015-07-16,0,119985151513.56769
2015-08-17,0,-75619997641.15187
2015-09-15,0,-177539828013.2148
2015-12-23,0,169962401890.688
2016-01-17,0,212555249190.50082
2016-02-14,0,205226227824.4948
2016-03-17,0,245909530009.4333
2016-05-20,0,230757402189.6231
2016-06-16,0,180030148628.5882
2016-07-16,0,-7175807508.404198
2016-08-22,0,-66944581953.868195
2016-11-28,0,-64020749740.09275
2016-12-25,0,83374271234.40802
2017-01-21,0,174936895570.26205
2017-03-31,0,248827563170.92615
2017-04-25,0,285010198649.5361
2017-05-15,0,323875253330.13245
2017-06-11,0,213349228376.50275
2018-06-16,0,123846285185.44127
2018-07-10,0,22139630632.25287
2018-11-01,0,5379736237.993912
2018-11-21,0,41550270118.67205
2018-12-17,0,124144599955.12471
2019-01-14,0,230709461052.3522
2019-02-12,0,298094834165.1631
2019-03-17,0,375356111537.5883
2019-04-16,0,342305917502.1562
2019-05-17,0,419064585288.1427
2019-06-16,0,398471950263.7846
2019-07-17,0,256063593988.9425
2019-08-17,0,103139570482.14508
2019-09-16,0,43451684430.2648
2019-10-17,0,52912694071.36084
2019-11-16,0,135602100797.29352
2019-12-17,0,283117296960.99945
2020-01-17,0,374839146738.59674
2020-02-16,0,402333146394.408
2020-03-17,0,402788860131.74194
