time,WGS84,lwe_thickness
2013-04-21,0,272314978394.9756
2013-05-16,0,115898618337.68503
2013-06-16,0,-31597062959.610764
2013-07-16,0,-134779925288.55179
2013-10-16,0,-87619595561.25464
2013-11-16,0,-22169562185.666107
2013-12-16,0,84001829212.95227
2014-01-09,0,134573077557.54924
2014-03-17,0,171613889875.90942
2014-04-16,0,224215666811.05554
2014-05-16,0,239577465328.8969
2014-06-13,0,115078757709.51982
2014-08-16,0,-42359388444.95082
2014-09-16,0,-54409383140.83525
2014-10-16,0,12853085858.380829
2014-11-16,0,140427129310.114
2015-01-22,0,136462583601.19118
2015-02-15,0,110061181304.98843
2015-03-16,0,87200303014.01096
2015-04-16,0,210686433786.39148
2015-04-27,0,248502177934.48746
2015-07-15,0,-153436167134.07977
2015-08-16,0,-225259361288.0605
2015-09-14,0,-218711254891.62253
2015-12-23,0,221411994458.077
2016-01-16,0,154586802932.10562
2016-02-14,0,173891742945.51843
2016-03-16,0,179070723539.28198
2016-05-20,0,232311908163.06476
2016-06-16,0,133603872923.01205
2016-07-15,0,22774981491.05558
2016-08-21,0,-66821257405.36249
2016-11-27,0,-51460146607.40787
2016-12-24,0,27116426037.522644
2017-01-21,0,128949646089.71371
2017-03-31,0,116974571271.78516
2017-04-24,0,109710385985.44989
2017-05-13,0,1982417844.6225128
2017-06-10,0,-2702091829.921768
2018-06-16,0,199183501077.9176
2018-07-10,0,78339336992.39235
2018-10-31,0,129318793471.86688
2018-11-16,0,107054107705.77888
2018-12-16,0,171240677057.6403
2019-01-16,0,183021569639.84058
2019-02-15,0,162981516988.5206
2019-03-16,0,176844266691.60272
2019-04-16,0,149303155028.88367
2019-05-16,0,51984774344.00577
2019-06-16,0,-43335357084.72481
2019-07-16,0,-133577205463.81392
2019-08-16,0,-117037477935.31787
2019-09-16,0,-44353815712.28162
2019-10-16,0,150980953896.0618
2019-11-16,0,241311966947.88806
2019-12-16,0,448390624567.52844
2020-01-16,0,454731394938.79285
2020-02-15,0,480445044196.53815
2020-03-16,0,507475623690.72095
