time,WGS84,lwe_thickness
2014-01-09,0,121459112949.28569
2014-03-18,0,142482873166.14954
2014-04-16,0,210458162323.3178
2014-05-17,0,220226258534.48126
2014-06-13,0,119637232262.35559
2014-08-17,0,-88790787839.4083
2014-09-16,0,-95123800143.66502
2014-10-17,0,36743285969.85623
2014-11-16,0,152280127595.35236
2015-01-23,0,135341923897.65822
2015-02-15,0,117768538991.9007
2015-03-17,0,111527049184.3831
2015-04-12,0,209506755366.46307
2015-05-02,0,222821875024.44592
2015-07-16,0,-159411538618.03128
2015-08-17,0,-248020018653.87097
2015-09-15,0,-209603654082.7182
2015-12-23,0,251797671467.52118
2016-01-17,0,176939416043.2617
2016-02-14,0,223817011545.49915
2016-03-17,0,225524681851.0136
2016-05-20,0,214074414742.69714
2016-06-16,0,115401614350.8011
2016-07-16,0,26273848443.290207
2016-08-22,0,-122829259649.50856
2016-11-28,0,-73634637229.73657
2016-12-25,0,41730941024.61822
2017-01-21,0,131940224591.22316
2017-03-31,0,89775037953.86118
2017-04-25,0,22789655972.14862
2017-05-15,0,-34647263224.18829
2017-06-11,0,-104417911465.33852
2018-06-16,0,199275659190.379
2018-07-10,0,103751571532.63882
2018-11-01,0,126471171419.40616
2018-11-21,0,152828148180.56177
2018-12-17,0,213317292344.04752
2019-01-14,0,231799150247.86545
2019-02-12,0,255739593105.9832
2019-03-17,0,255539807367.07166
2019-04-16,0,206277617532.88312
2019-05-17,0,109533900462.01746
2019-06-16,0,4592445412.866653
2019-07-17,0,-78032078024.40228
2019-08-17,0,-91570818252.03554
2019-09-16,0,-31009368812.324738
2019-10-17,0,178940190669.95648
2019-11-16,0,289330608928.9652
2019-12-17,0,508699290247.8596
2020-01-17,0,501913275698.88416
2020-02-16,0,526415770172.77264
2020-03-17,0,563262258536.0598
2020-04-16,0,618902004475.173
2020-05-17,0,558085438162.6079
2020-06-16,0,364113443980.57227
2020-07-17,0,286074186117.6924
2020-08-17,0,213371590009.76538
2020-09-16,0,308098967052.87585
2020-10-17,0,344518103587.8941
2020-11-16,0,453491421836.7135
2020-12-17,0,538434667386.29846
2021-01-17,0,589567631754.0691
2021-02-15,0,499218741994.00903
2021-03-17,0,449346097712.8971
2021-04-16,0,539494452690.34607
2021-05-17,0,562054557311.1239
2021-06-16,0,319703833480.09717
2021-07-17,0,268292754173.4346
2021-08-17,0,145137228659.21182
2021-09-16,0,191238512053.01135
2021-10-17,0,226351419725.55173
2021-11-16,0,338583186355.95776
2021-12-17,0,332361659746.98346
2022-01-17,0,392044181346.9351
2022-02-15,0,303926296688.7465
2022-03-17,0,346675935279.4606
2022-04-16,0,349110790564.7881
2022-05-17,0,381462974213.84045
2022-06-16,0,283794367585.46747
2022-07-17,0,127527650308.66022
2022-08-17,0,85719669561.22614
2022-09-16,0,163864006880.13763
2022-10-17,0,256385633933.42596
2022-11-16,0,377155304487.30774
2022-12-17,0,541903122724.24664
2023-01-17,0,542945387736.5927
2023-02-15,0,503687407707.4427
2023-03-17,0,569056023459.0217
2023-04-16,0,768833808519.5232
2023-05-17,0,745549901400.4211
2023-06-16,0,541587910476.8357
2023-07-17,0,464293481787.539
2023-08-17,0,345666136990.6844
2023-09-16,0,268704533628.58002
