time,WGS84,lwe_thickness
2012-11-18,0,-192637541134.33176
2012-12-16,0,-184178315006.32785
2013-01-16,0,-92445757379.42462
2013-02-14,0,-79249721353.49492
2013-04-21,0,90378369950.65265
2013-05-16,0,117792456208.12979
2013-06-16,0,43535864189.1437
2013-07-16,0,-118710444694.76721
2013-10-16,0,-195346827104.0841
2013-11-16,0,-108467228312.98212
2013-12-16,0,-39818951412.1149
2014-01-09,0,37589070669.73753
2014-03-17,0,137770564741.73456
2014-04-16,0,152148157751.88834
2014-05-16,0,162774734645.11182
2014-06-13,0,73365150351.52887
2014-08-16,0,-108494589153.64734
2014-09-16,0,-174856422766.66174
2014-10-16,0,-88193537857.66986
2014-11-16,0,-15793416120.973099
2015-01-22,0,108234020509.04097
2015-02-15,0,155335530547.26343
2015-03-16,0,167509174081.20306
2015-04-16,0,207270624648.26505
2015-04-27,0,233585939429.9774
2015-07-15,0,20076098164.10394
2015-08-16,0,-12761610728.9334
2015-09-14,0,-74413629012.72882
2015-12-23,0,184785335190.66476
2016-01-16,0,202458910275.51178
2016-02-14,0,197585279074.72348
2016-03-16,0,259022421875.54736
2016-05-20,0,272290274511.92764
2016-06-16,0,127137777210.75055
2016-07-15,0,18081212040.97233
2016-08-21,0,-120272928550.38211
2016-11-27,0,-39181441495.59184
2016-12-24,0,73852194186.82422
2017-01-21,0,131752126139.15807
2017-03-31,0,183948817795.13147
2017-04-24,0,191166285355.21863
2017-05-13,0,186853866196.39035
2017-06-10,0,164962390372.98755
2018-06-16,0,217545293702.28372
2018-07-10,0,95335256040.0518
2018-10-31,0,-28515108601.272278
2018-11-16,0,32697181658.212086
2018-12-16,0,130629601412.16841
2019-01-16,0,122315086826.85101
2019-02-15,0,189505423250.1644
2019-03-16,0,190461934302.26974
2019-04-16,0,236945361674.28876
2019-05-16,0,218011456875.29633
2019-06-16,0,99916047954.9552
2019-07-16,0,-8651805614.797087
2019-08-16,0,-60425018813.90459
2019-09-16,0,-73832924492.21909
2019-10-16,0,-91061597933.57768
2019-11-16,0,39574200832.25682
2019-12-16,0,122308419143.68472
2020-01-16,0,134078207164.75174
2020-02-15,0,252633012735.4127
